Complexity,Loss,Equation
1,0.14570455,"0.54917073"
3,0.117147334,"x_0 + 0.5398689"
4,0.049532607,"exp(x_0 + -0.7779316)"
5,0.044930205,"(x_0 * 0.5415535) + 0.54414606"
6,0.007590457,"exp(x_0) / (x_1 - -2.2228186)"
7,0.0061469683,"exp(sin(x_0)) / (x_1 - -2.2228186)"
9,0.0057538403,"exp(sin(x_0)) / ((x_1 - -1.4381173) + 0.7339518)"
11,0.0037094608,"exp(x_0 / exp(sin(x_0))) / (x_1 + sqrt(3.3836513))"
13,0.003146089,"exp(x_0 / exp(x_0 / 2.2166908)) / sqrt(exp(x_1 + 1.1914825))"
15,0.0019288755,"exp(x_0 / exp(x_0 / 2.224496)) / sqrt(exp(x_1 + 1.4529955) + -0.47445282)"
17,0.0017742271,"(exp(x_0 / exp(x_0 / 1.678426)) / sqrt(x_1 + (exp(x_1) + 1.1242526))) * 0.7684632"
19,0.0016861304,"exp(x_0 / exp(x_0 / 2.2166908)) / sqrt(exp((x_1 + sin(0.54396045 - 0.0788525)) + cos(x_1)))"
